"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.breathingProblems","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.breathingProblems","","","",1,1,"","","","code {[]} {[]}
","Breathing problems / shortness of breath (SNOMED 267036007) | Answers: 2667000 None | 255604002 Mild | 6736007 Moderate | 24484000 Severe","Breathing problems / shortness of breath (SNOMED 267036007) | Answers: 2667000 None | 255604002 Mild | 6736007 Moderate | 24484000 Severe","","","","","","","","","",,,,,"",,,,"OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.breathingProblems",1,1,"",""
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.swellingFaceTongue","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.swellingFaceTongue","","","",1,1,"","","","code {[]} {[]}
","Swelling of face/tongue (SNOMED 278528006) | Answers: 2667000 None | 255604002 Mild | 6736007 Moderate | 24484000 Severe","Swelling of face/tongue (SNOMED 278528006) | Answers: 2667000 None | 255604002 Mild | 6736007 Moderate | 24484000 Severe","","","","","","","","","",,,,,"",,,,"OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.swellingFaceTongue",1,1,"",""
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.otherSymptoms","OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.otherSymptoms","","","",0,1,"","","","string {[]} {[]}
","Other symptoms or relevant clinical/psychosocial observations (SNOMED 365275006)","Other symptoms or relevant clinical/psychosocial observations (SNOMED 365275006)","","","","","","","","","",,,,,"",,,,"OPATContinuousInfusionQuestionnaire.nursingAssessment.sideEffects.otherSymptoms",0,1,"",""
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp","","","",0,1,"","","","BackboneElement {[]} {[]}
","Quality Follow-Up","Quality Follow-Up","","","","","","","","","",,,,,"",,,,"OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.id","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.extension","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.modifierExtension","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"opat-continuous-infusion-questionnaire","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.remarks","OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.remarks","","","",0,1,"","","","string {[]} {[]}
","Remarks or concerns about patient registration, data sharing, hospital communication, material availability, or other transmural collaboration aspects (SNOMED 276238005)","Remarks or concerns about patient registration, data sharing, hospital communication, material availability, or other transmural collaboration aspects (SNOMED 276238005)","","","","","","","","","",,,,,"",,,,"OPATContinuousInfusionQuestionnaire.nursingAssessment.qualityFollowUp.remarks",0,1,"",""
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire","OPATShortIVQuestionnaire","","","",0,*,"","","","null {[]} {[]}
","OPAT Short IV Questionnaire Logical Model","Logical model representing the nursing assessment questionnaire for OPAT home hospitalization patients receiving short IV administration. This questionnaire is filled in by the home nurse during each visit and exchanged as a FHIR QuestionnaireResponse with the hospital. Compared to the continuous infusion questionnaire, this model does not include infusor weight measurements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment","OPATShortIVQuestionnaire.nursingAssessment","","","",1,1,"","","","BackboneElement {[]} {[]}
","Nursing Assessment","Nursing Assessment","","","","","","","","","",,,,,"",,,,"OPATShortIVQuestionnaire.nursingAssessment",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.id","OPATShortIVQuestionnaire.nursingAssessment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.extension","OPATShortIVQuestionnaire.nursingAssessment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.modifierExtension","OPATShortIVQuestionnaire.nursingAssessment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.storage","OPATShortIVQuestionnaire.nursingAssessment.storage","","","",1,1,"","","","BackboneElement {[]} {[]}
","Storage","Storage","","","","","","","","","",,,,,"",,,,"OPATShortIVQuestionnaire.nursingAssessment.storage",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.storage.id","OPATShortIVQuestionnaire.nursingAssessment.storage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"opat-short-iv-questionnaire","OPATShortIVQuestionnaire.nursingAssessment.storage.extension","OPATShortIVQuestionnaire.nursingAssessment.storage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
